max_depth,learning_rate,subsample,colsample_bytree,scale_pos_weight,min_child_weight,reg_lambda,reg_alpha,n_estimators,val_balanced_auprc,val_balanced_auroc
4,0.05,0.8,0.8,0.8863198458574181,2,5.0,0.1,800,0.867005418411289,0.8481404958677686
4,0.03,0.8,0.8,0.8863198458574181,2,5.0,0.1,800,0.8660874464640738,0.8440082644628099
3,0.05,0.8,0.8,0.8863198458574181,2,5.0,0.1,800,0.8657216019950713,0.8486570247933883
3,0.03,0.7,0.7,0.8863198458574181,2,5.0,0.1,800,0.8604194033279091,0.8476239669421488
3,0.05,0.7,0.7,0.8863198458574181,2,5.0,0.1,800,0.8596033865237225,0.8429752066115703
4,0.05,0.7,0.7,0.8863198458574181,2,5.0,0.1,800,0.8589603528512348,0.8372933884297521
5,0.03,0.7,0.7,0.8863198458574181,2,5.0,0.1,800,0.8588455029607951,0.8383264462809917
4,0.03,0.7,0.7,0.8863198458574181,2,5.0,0.1,800,0.8576466176281168,0.8424586776859504
5,0.05,0.8,0.8,0.8863198458574181,2,5.0,0.1,800,0.8570933603398407,0.8352272727272726
5,0.03,0.8,0.8,0.8863198458574181,2,5.0,0.1,800,0.8537961504712426,0.8341942148760331
3,0.03,0.8,0.8,0.8863198458574181,2,5.0,0.1,800,0.8525643247123753,0.8388429752066117
5,0.05,0.7,0.7,0.8863198458574181,2,5.0,0.1,800,0.8495927824803522,0.827995867768595
4,0.01,0.8,0.8,0.8863198458574181,2,5.0,0.1,800,0.8450687506025485,0.8316115702479339
5,0.01,0.7,0.7,0.8863198458574181,2,5.0,0.1,800,0.8430153862660106,0.8362603305785125
4,0.01,0.7,0.7,0.8863198458574181,2,5.0,0.1,800,0.8421234404401046,0.8352272727272726
5,0.01,0.8,0.8,0.8863198458574181,2,5.0,0.1,800,0.8418967015400943,0.8290289256198348
3,0.01,0.7,0.7,0.8863198458574181,2,5.0,0.1,800,0.8369643216340985,0.8264462809917356
3,0.01,0.8,0.8,0.8863198458574181,2,5.0,0.1,800,0.832587659015004,0.8207644628099173
