feature,mean_abs_shap
pulse_pressure_std,0.2057788
sbp_std,0.18849076
steps_mean,0.14332537
hr_volatility_min,0.13366172
bp_trend_min,0.09338139
steps_std,0.08932683
steps_rolling_sum_6h_max,0.08160927
sbp_mean,0.08097786
bp_trend_mean,0.076982975
steps_max,0.070893645
bp_trend_max,0.065599576
age,0.06541749
steps_rolling_sum_6h_std,0.064171016
sensory,0.06245835
saturation_min,0.057070926
shock_index_min,0.05449375
heartrate_mean,0.04808963
hr_volatility_max,0.04492046
time_since_last_temperature_mean,0.042263098
heartrate_std,0.039803177
shock_index_mean,0.039286394
pulse_pressure_min,0.037682183
cardiovascular,0.03466589
steps_rolling_sum_6h_min,0.03456753
dbp_max,0.034192678
time_since_last_temperature_std,0.033805
dbp_std,0.03157706
musculoskeletal,0.030118683
time_since_last_heartrate_std,0.025511963
steps_rolling_sum_6h_mean,0.025138335
shock_index_std,0.023839349
shock_index_max,0.023423051
time_since_last_steps_max,0.022278072
hr_volatility_std,0.02013429
time_since_last_saturation_mean,0.019537661
heartrate_max,0.018073667
sbp_max,0.017872835
bp_trend_std,0.0178665
temperature_mean,0.017199615
pulse_pressure_mean,0.016703984
temperature_std,0.015690023
time_since_last_temperature_min,0.014485884
time_since_last_heartrate_mean,0.014438473
time_since_last_steps_mean,0.010833912
saturation_mean,0.010472585
hr_volatility_mean,0.009952022
time_since_last_sbp_std,0.009683278
time_since_last_steps_min,0.008848289
dbp_mean,0.008817602
heartrate_min,0.008481874
temperature_max,0.008301715
time_since_last_steps_std,0.007888508
saturation_std,0.006727724
sbp_min,0.0054978495
dbp_min,0.004863728
psychiatric_cognitive,0.0044689653
time_since_last_heartrate_min,0.0043448512
pulse_pressure_max,0.004305423
time_since_last_saturation_min,0.00425977
time_since_last_pulse_pressure_std,0.0024152072
time_since_last_dbp_std,0.002397741
time_since_last_saturation_std,0.002249215
time_since_last_sbp_mean,0.002170009
metabolic_endocrine,0.0016394582
time_since_last_saturation_max,0.0013577819
time_since_last_pulse_pressure_min,0.0012343543
time_since_last_dbp_mean,0.00070915115
time_since_last_dbp_min,0.00068643107
time_since_last_sbp_min,0.00063175044
other,0.0005841239
time_since_last_temperature_max,0.0003426137
recent_event_burden_mean,0.0
time_since_last_pulse_pressure_mean,0.0
recent_event_burden_max,0.0
time_since_last_sbp_max,0.0
time_since_last_dbp_max,0.0
time_since_last_pulse_pressure_max,0.0
time_since_last_heartrate_max,0.0
saturation_max,0.0
recent_event_burden_std,0.0
steps_min,0.0
temperature_min,0.0
recent_event_burden_min,0.0
neurological,0.0
respiratory,0.0
oncological,0.0
gastro_renal_urologic,0.0
other_functional_risk,0.0
gender,0.0
